id,Name,AccountNumber,AcctType,BillingStreet,BillingCity,BillingState,BillingPostalCode,Phone,Fax,Email,Status,DateStarted,DateEnded
13,Great Lakes Chemical Corporation,13,Customer - Direct,2359 Lone Stone Byway,ENGLEWOOD,fl,26419,547-494-6994,986-381-8000,JohnMoore@example.com,Active,2004-06-09 01:40:04,2999-12-31 00:00:00
14,John Hancock Financial Services Inc.,14,Customer - Channel,84413 Long Bridge Gardens,ZANONI,co,46865,569-196-4948,420-979-2860,JoyceMartinez@example.com,Active,2004-03-13 17:49:09,2999-12-31 00:00:00
15,AmerisourceBergen Corporation,15,Customer - Channel,72 Cozy Bird Ridge,MAGNOLIA,ca,84116,260-395-3192,825-718-8183,JenniferVandenberg@example.com,Active,2006-08-16 04:57:53,2999-12-31 00:00:00
16,State Street Corp.,16,Customer - Channel,8800 Thunder Cloud Pike,HARRISBURG,va,11797,418-666-9167,991-851-5668,MichaelJohnson@example.com,Active,2016-03-20 12:44:49,2999-12-31 00:00:00
17,Felcor Lodging Trust Inc.,17,Customer - Channel,72820 Twin Willow Trail,WIXOM,sc,94578,722-112-7347,798-408-8371,GeraldGeorge@example.com,Active,2008-08-18 05:14:51,2999-12-31 00:00:00
18,Humana Inc.,18,Customer - Direct,9985 Sleepy Willow Isle,PEMBINE,oh,60038,153-108-7243,113-650-3866,DavidFullmer@example.com,Active,2006-11-24 03:15:13,2999-12-31 00:00:00
19,Sysco Corp,19,Customer - Direct,4710 White Mill Acres,LITTLE CEDAR,pa,95221,716-362-5675,660-488-6237,SarahHammond@example.com,Active,2017-11-30 14:20:00,2999-12-31 00:00:00
20,Magellan Health Services Inc.,20,Customer - Channel,22244 Velvet Rabbit Lagoon,PENSACOLA,ny,29614,827-601-7982,272-240-8775,FrancesGregoire@example.com,Active,2004-08-20 09:49:16,2999-12-31 00:00:00
21,Stanley Works,21,Customer - Direct,4332 Emerald Zephyr Saunter,SARASOTA,mo,57024,907-311-5301,587-642-1131,ShirleyGriffin@example.com,Active,2001-01-29 06:53:05,2999-12-31 00:00:00
22,Cenex Harvest States Cooperatives,22,Customer - Channel,13839 High Acorn Landing,KANSAS CITY,ks,12183,189-656-5527,652-274-1488,GeorgeDavis@example.com,Active,2000-10-18 15:01:40,2999-12-31 00:00:00
23,Unisource Energy Corp,23,Customer - Channel,29755 Jagged Cottage Falls,MOUNTAIN PINE,co,72611,327-971-7037,816-878-8556,JohnSmith@example.com,Active,2015-05-01 04:24:27,2999-12-31 00:00:00
24,Goodrich Corporation,24,Customer - Channel,94912 Cozy Crow Haven,BROOKS,mi,16619,516-872-7332,338-644-8187,JasonDuchene@example.com,Active,2003-04-22 07:09:18,2999-12-31 00:00:00
25,The May Department Stores Company,25,Customer - Direct,97045 Cotton Barn Ledge,HOLLANSBURG,ny,31207,996-796-6995,905-703-3418,GailSims@example.com,Active,2003-12-23 21:19:38,2999-12-31 00:00:00
26,CellStar Corp.,26,Customer - Direct,1208 Tender Robin Cut,MILTON,ca,83554,611-561-1925,111-811-2289,WhitneyKam@example.com,Active,2009-06-29 01:55:53,2999-12-31 00:00:00
27,Payless Shoesource Inc,27,Customer - Channel,54910 Golden Beacon Meadow,VERNON HILLS,pa,61374,980-155-4930,874-868-3558,ErinCalderon@example.com,Active,2006-02-12 09:12:39,2999-12-31 00:00:00
28,DURA Automotive Systems Inc.,28,Customer - Channel,65393 Grand Branch Mews,STARTUP,sd,14815,170-250-6517,563-657-1607,RobertoRamirez@example.com,Active,2008-12-16 14:52:58,2999-12-31 00:00:00
29,Apartment Investment and Management Company,29,Customer - Channel,1617 Stony Mountain Mews,SEDONA,sc,74820,146-460-3717,337-803-4650,SamuelOleary@example.com,Active,2013-05-11 15:11:46,2999-12-31 00:00:00
30,US Oncology Inc,30,Customer - Channel,11636 Orange Zephyr Woods,STOY,tx,76006,875-594-6984,713-195-7991,GenevaRoyer@example.com,Active,2017-07-01 12:05:27,2999-12-31 00:00:00
31,Polaris Industries Inc.,31,Customer - Channel,11979 Hazy Dale Isle,NORTH LAS VEGAS,hi,52761,740-961-2729,784-785-2339,StephenClopton@example.com,Active,2000-06-04 20:30:18,2999-12-31 00:00:00
32,Ross Stores Inc,32,Customer - Direct,18728 Auburn Treasure Cove,MOUNT LIBERTY,pa,63401,836-666-8845,563-370-7158,MelissaPitts@example.com,Active,2010-12-02 18:43:56,2999-12-31 00:00:00
33,The Clorox Co.,33,Customer - Direct,6044 Old Snake Field,AUSTIN,fl,61266,216-260-7724,855-120-4715,MargaretBrooks@example.com,Active,2011-12-02 19:01:54,2999-12-31 00:00:00
34,Limited Inc.,34,Customer - Direct,59802 Misty Deer Dale,CASTLE ROCK,ok,10520,753-787-2429,981-786-4252,ShayneThompson@example.com,Active,2011-07-08 23:49:27,2999-12-31 00:00:00
35,United Auto Group Inc,35,Customer - Channel,84047 Lone Nut Bayou,COLUMBIA,nj,35905,457-223-5683,770-867-8281,HolliKato@example.com,Active,2013-10-22 13:53:42,2999-12-31 00:00:00
36,PNC Financial Services Group Inc.,36,Customer - Direct,25854 Fallen Diamond Pass,ASHLAND,tx,95252,160-380-1255,411-404-5244,JanetSavoy@example.com,Active,2010-04-28 15:35:50,2999-12-31 00:00:00
37,Tektronix Inc,37,Customer - Channel,79892 Indian Lamb Stead,FENTON,tx,01902,826-337-8237,392-689-9940,IvyMickey@example.com,Active,2012-11-25 00:02:44,2999-12-31 00:00:00
38,Sealed Air Corp,38,Customer - Channel,14988 Bent Chestnut Manor,MONTGOMERY,tx,12438,213-401-6902,995-143-8605,ArmandoZawacki@example.com,Active,2010-05-23 21:06:00,2999-12-31 00:00:00
39,Telephone & Data Systems Inc,39,Customer - Direct,902 Dewy Mill Avenue,KIRTLAND AFB,nc,19487,577-757-1556,505-170-8894,EricJamar@example.com,Active,2018-10-21 11:39:16,2999-12-31 00:00:00
40,Pennzoil-Quaker State Company,40,Customer - Direct,60718 Old Bridge Gardens,PERRINTON,tx,51038,767-817-8448,975-877-4630,DanaGutowski@example.com,Active,2015-06-14 09:46:21,2999-12-31 00:00:00
41,Wellpoint Health Networks Inc,41,Customer - Direct,679 Cinder Nest Lagoon,ALSEN,tx,93725,376-638-3262,599-473-7496,CathyMccarthy@example.com,Active,2019-01-09 00:50:41,2999-12-31 00:00:00
42,Perini Corp,42,Customer - Channel,47872 Cool Chestnut Arbor,MARION,ga,67731,884-512-7473,819-547-7554,KimberlyTodd@example.com,Active,2010-05-26 22:28:03,2999-12-31 00:00:00
43,Cummins Inc.,43,Customer - Channel,24466 Cinder Peach Run,MC CONNELLSVILLE,sc,55311,510-481-8912,203-121-8779,MelvinAndrews@example.com,Active,2009-06-09 23:17:00,2999-12-31 00:00:00
44,The Black & Decker Corporation,44,Customer - Direct,3886 Indian View Falls,ALHAMBRA,tx,40366,691-446-8982,684-958-3159,PhyllisPhillips@example.com,Active,2018-07-02 05:36:15,2999-12-31 00:00:00
45,Hershey Foods Corp.,45,Customer - Channel,30297 Old Anchor Dell,WINSTON SALEM,tx,35478,351-535-3776,419-432-5225,JanisHooker@example.com,Active,2007-12-12 03:07:47,2999-12-31 00:00:00
46,Universal Corporation,46,Customer - Channel,16034 Sweet Stone Alcove,JACKSON,mi,35805,220-905-1894,716-977-5283,BerthaWilbanks@example.com,Active,2001-08-17 07:28:48,2999-12-31 00:00:00
47,International Paper Co.,47,Customer - Channel,82378 Blue Timber Haven,SAN JOSE,az,68954,783-637-8263,277-177-5808,LolaGuest@example.com,Active,2012-05-03 04:26:20,2999-12-31 00:00:00
48,Commercial Metals Co.,48,Customer - Direct,8195 Twin Nut Circle,VENICE,nm,11421,609-576-6202,631-415-7549,RachelLopez@example.com,Active,2017-10-23 06:30:21,2999-12-31 00:00:00
49,Dollar Tree Stores Inc.,49,Customer - Direct,208 Small Quail Isle,LAKE CITY,oh,95315,234-626-2923,988-438-2002,RaulPalazzo@example.com,Active,2018-04-04 10:52:11,2999-12-31 00:00:00
50,Bristol-Myers Squibb Company,50,Customer - Direct,55622 Rose Pine Orchard,HENDERSON,il,70715,390-227-9576,237-562-4434,HelenHumphrey@example.com,Active,2005-08-30 22:17:46,2999-12-31 00:00:00
51,Triad Hospitals Inc,51,Customer - Direct,35570 Lazy Cloud Gate,CORPUS CHRISTI,or,97441,931-957-5314,638-771-7508,JeremyBlack@example.com,Active,2011-07-17 19:20:58,2999-12-31 00:00:00
52,Boise Cascade Corporation,52,Customer - Direct,5696 Shady Maple Ramble,JACKSON,nd,10021,757-262-6379,694-242-2573,TinaButt@example.com,Active,2002-01-26 04:21:33,2999-12-31 00:00:00
53,Granite Construction Incorporated,53,Customer - Channel,1693 White Elk Falls,HERCULES,oh,16235,614-414-6625,825-502-1373,JessicaArpin@example.com,Active,2003-01-06 16:42:09,2999-12-31 00:00:00
54,First American Financial Corp.,54,Customer - Direct,342 Merry Goat Trace,ALBANY,nc,48122,949-902-9292,539-107-3584,ClaudeCarpenter@example.com,Active,2002-10-25 20:36:27,2999-12-31 00:00:00
55,Pride International Inc,55,Customer - Channel,365 Strong Fox Shoal,ROBARDS,nj,83601,564-579-8923,792-206-9669,BeverlyWoodard@example.com,Active,2009-05-27 13:12:46,2999-12-31 00:00:00
56,W.R. Berkley Corporation,56,Customer - Channel,16717 Umber Leaf Way,ANGIER,ca,75002,578-536-5066,613-311-6532,CarolChang@example.com,Active,2001-03-17 23:48:15,2999-12-31 00:00:00
57,Enron Corp.,57,Customer - Direct,46537 Noble Fawn Trail,BULLHEAD CITY,mn,55706,683-512-2893,803-546-3812,DonBishop@example.com,Active,2018-12-21 15:00:05,2999-12-31 00:00:00
58,StanCorp Financial Group Inc,58,Other,39195 Strong Lamb Race,SCHNECKSVILLE,fl,65344,674-525-9852,734-934-3822,GeraldYoung@example.com,Active,2001-02-06 10:39:59,2999-12-31 00:00:00
59,Tektronix Inc,59,Customer - Direct,30288 Lazy River Alcove,EAST HAMPTON,nh,61546,537-865-9029,538-194-8673,HowardBogar@example.com,Active,2005-04-07 23:59:09,2999-12-31 00:00:00
60,Genzyme Corporation,60,Customer - Channel,631 Old Berry Gate,SOPERTON,pa,41092,557-751-8242,546-368-1715,HerbertDubois@example.com,Active,2014-06-06 14:32:29,2999-12-31 00:00:00
61,General Electric Company,61,Customer - Channel,3733 Pretty Diamond Park,ALEXANDRIA,ny,46816,368-574-7628,480-956-3692,HelenJohnson@example.com,Active,2013-01-15 21:57:28,2999-12-31 00:00:00
62,Spartan Stores Inc,62,Customer - Channel,14 Crystal Apple Bayou,MARTHA,ny,65611,698-126-6883,586-157-2232,AntonioScales@example.com,Active,2006-08-28 13:24:31,2999-12-31 00:00:00
63,Washington Mutual Inc,63,Customer - Direct,82520 Birch Cloud Estates,GLASGOW,tx,54324,957-944-1023,667-732-7014,CecilButler@example.com,Active,2014-08-21 12:12:12,2999-12-31 00:00:00
64,Atmos Energy Corporation,64,Customer - Channel,90728 Burning Leaf Point,RACINE,ca,35649,899-864-9641,145-782-5767,JeffreyVance@example.com,Active,2012-04-04 19:33:28,2999-12-31 00:00:00
65,Lehman Brothers Holdings Inc.,65,Customer - Channel,5560 Silent Oak Drive,WHEATLAND,ca,67213,125-322-3767,714-969-2773,HelenHale@example.com,Active,2006-05-17 09:21:25,2999-12-31 00:00:00
66,R.R. Donnelley & Sons Company,66,Customer - Channel,1280 Bright Forest Hollow,SINGERS GLEN,mi,88517,926-223-7094,462-502-2100,DoloresLeon@example.com,Active,2003-12-08 01:06:00,2999-12-31 00:00:00
67,ZionsBancorporation,67,Customer - Channel,49348 Lonely Crow Stead,GLENNVILLE,pa,59471,338-335-5955,194-793-9252,JamesZoll@example.com,Active,2005-01-14 02:31:02,2999-12-31 00:00:00
68,Sempra Energy,68,Customer - Direct,97592 Pleasant Wagon Haven,HORNICK,ga,68380,445-212-6242,232-102-1130,JosephElmore@example.com,Active,2009-06-07 18:34:53,2999-12-31 00:00:00
69,Eaton Corporation,69,Customer - Direct,177 Calm Embers Trek,CROMPOND,mo,30678,968-266-5646,245-916-9512,MargaretClay@example.com,Active,2007-02-20 16:15:48,2999-12-31 00:00:00
70,Alliant Energy Corporation,70,Customer - Direct,54467 Rocky Pond Estates,MARENGO,ut,28551,919-478-5870,312-765-5801,AaronElledge@example.com,Active,2018-09-16 03:14:51,2999-12-31 00:00:00
71,Advanced Micro Devices Inc.,71,Other,34233 Old Holly Wander,MARATHON,va,94620,682-874-2783,455-369-8324,HomerRice@example.com,Active,2019-01-26 13:04:12,2999-12-31 00:00:00
72,Barnes & Noble Inc.,72,Customer - Channel,26395 Rustic Wagon Promenade,MCHENRY,ny,37212,191-908-2353,165-138-3652,SharonMallory@example.com,Active,2018-11-01 03:11:38,2999-12-31 00:00:00
73,BorgWarner Inc.,73,Customer - Direct,22182 Harvest Dove Glade,STRATTON,fl,72701,691-189-1822,992-296-9113,BrianRoper@example.com,Active,2014-12-08 19:01:45,2999-12-31 00:00:00
74,Barnes & Noble Inc.,74,Customer - Direct,52237 Misty Bird Court,MOVILLE,il,30119,623-322-8483,508-565-4283,ShirleyBreed@example.com,Active,2017-07-18 02:13:06,2999-12-31 00:00:00
75,Alcoa Inc.,75,Customer - Channel,9955 Indian Cider Ledge,LOWELL,co,24045,844-268-2173,336-742-8688,LoisSmall@example.com,Active,2004-01-17 22:52:44,2999-12-31 00:00:00
76,TECO Energy Inc,76,Customer - Channel,2377 Still Beacon Terrace,HUNTINGTOWN,tn,42452,122-508-4442,291-779-3699,RichardTatman@example.com,Active,2007-01-24 03:28:29,2999-12-31 00:00:00
77,Southwest Gas Corp,77,Customer - Channel,49820 Square Nest Bluff,BOAZ,ca,70821,845-487-5217,890-420-5302,JackiePage@example.com,Active,2009-02-01 13:41:50,2999-12-31 00:00:00
78,Solectron Corp,78,Customer - Channel,70356 Jagged Robin Avenue,RESTON,or,43652,805-241-1463,602-161-4496,CarolynBlanco@example.com,Active,2008-11-05 07:42:21,2999-12-31 00:00:00
79,Belo Corp.,79,Customer - Direct,1833 Orange Feather Summit,WICHITA,ks,05775,425-438-3190,354-187-6974,MarquitaBranscum@example.com,Active,2015-05-09 14:24:14,2999-12-31 00:00:00
80,Navistar International Corporation,80,Customer - Direct,16677 Emerald Elm Road,MCKEESPORT,ca,56474,640-493-8752,474-839-5388,DebraNguyen@example.com,Active,2008-12-20 19:37:08,2999-12-31 00:00:00
81,Adolph Coors Company,81,Customer - Direct,33358 Still Embers Heights,GRACEWOOD,fl,95035,461-134-8584,949-284-3851,EricBrown@example.com,Active,2018-06-13 07:19:32,2999-12-31 00:00:00
82,Hubbell Inc.,82,Customer - Channel,1197 Velvet Axe Isle,ROCKVILLE,ma,98011,794-203-9775,813-304-8181,KaraHernandez@example.com,Active,2016-09-14 00:33:56,2999-12-31 00:00:00
83,Northwest Airlines Corp,83,Customer - Channel,14542 Thunder Grove Wander,MANCHESTER,ks,98922,358-797-6723,808-412-4834,LeonaWhite@example.com,Active,2013-07-25 07:21:00,2999-12-31 00:00:00
84,Massey Energy Company,84,Customer - Direct,132 Misty Pony Woods,WALLS,tx,12828,579-813-1695,281-562-4825,MichaelJohannes@example.com,Active,2013-09-25 07:00:39,2999-12-31 00:00:00
85,Rite Aid Corp,85,Customer - Channel,3958 Grand Beaver Falls,CORTEZ,tn,97071,107-451-3845,632-212-7878,LesleyMcknight@example.com,Active,2010-09-08 11:42:37,2999-12-31 00:00:00
86,Golden West Financial Corporation,86,Customer - Channel,45379 Happy Elm Byway,SALT LAKE CITY,al,76043,581-781-8995,243-475-9402,PatriciaMinks@example.com,Active,2014-06-04 22:50:32,2999-12-31 00:00:00
87,CellStar Corp.,87,Customer - Direct,1020 Golden Rock Trek,BATON ROUGE,la,17402,439-579-3581,302-499-5236,SusanOrellana@example.com,Active,2001-10-28 10:22:06,2999-12-31 00:00:00
88,Gold Kist Inc.,88,Customer - Channel,85703 Foggy Rock Estates,CHICAGO,ky,92589,123-320-8021,802-519-9634,AllisonGraham@example.com,Active,2014-12-28 10:17:54,2999-12-31 00:00:00
89,American Express Company,89,Customer - Direct,20 Round Cottage Jetty,SAVAGE,nv,05872,185-467-1199,340-724-6740,AdamMishler@example.com,Active,2000-07-03 20:42:57,2999-12-31 00:00:00
90,StanCorp Financial Group Inc,90,Customer - Channel,30002 Long Prairie Byway,SHOEMAKERSVILLE,tx,73756,573-274-5307,857-568-8130,AllenBennett@example.com,Active,2018-01-25 18:32:39,2999-12-31 00:00:00
91,Park Place Entertainment Corp,91,Customer - Direct,85731 Little Goose Nook,ELMWOOD,mi,43971,120-268-5626,807-809-7254,AngelJo@example.com,Active,2011-09-08 03:51:18,2999-12-31 00:00:00
92,Timken Company,92,Customer - Channel,20141 Small Bluff Gate,CARLISLE,tn,12526,566-117-3565,137-107-3450,JoeSmolen@example.com,Active,2018-05-02 23:32:00,2999-12-31 00:00:00
93,World Fuel Services Corporation,93,Customer - Direct,3447 Small Wagon Highlands,PORTOLA VALLEY,tx,16352,204-123-9099,589-988-5370,JeffreyValencia@example.com,Active,2010-01-03 23:09:51,2999-12-31 00:00:00
94,Pharmacia Corp,94,Customer - Direct,11391 Amber Sky Rove,WARDA,wv,94145,342-464-5917,863-857-3111,SeanShockley@example.com,Active,2000-04-24 18:26:19,2999-12-31 00:00:00
95,Dreyers Grand Ice Cream Inc.,95,Customer - Channel,2322 Golden Pine Glen,SINGERS GLEN,or,56359,721-265-2054,363-511-7110,KathyDisney@example.com,Active,2008-03-22 19:10:38,2999-12-31 00:00:00
96,Footstar Inc.,96,Customer - Channel,81837 Honey Barn Street,TALLULA,al,67138,247-979-9025,233-891-5258,BonnieLopez@example.com,Active,2006-01-20 09:27:49,2999-12-31 00:00:00
97,Sonic Automotive Inc.,97,Customer - Direct,19974 Pearl Island Niche,ANGELA,ca,83239,259-824-5304,167-816-8985,RobertStephens@example.com,Active,2018-08-29 13:56:43,2999-12-31 00:00:00
98,DURA Automotive Systems Inc.,98,Customer - Direct,69458 Umber Timber Gardens,SPRINGBORO,ca,37888,738-226-5240,859-574-2727,ArthurShaffer@example.com,Active,2016-10-09 04:36:33,2999-12-31 00:00:00
99,Solectron Corp,99,Customer - Direct,1803 Sweet Maple Byway,SAN JOSE,wi,61920,152-329-1350,678-640-6757,PhillipHall@example.com,Active,2001-08-21 03:31:45,2999-12-31 00:00:00
100,DaVita Inc.,100,Customer - Direct,16914 Colonial Beaver Round,HAVANA,pa,54926,974-929-7543,124-970-3747,ChristopherFerebee@example.com,Active,2004-03-20 08:29:27,2999-12-31 00:00:00
101,Expeditors International of Washington Inc.,1,Customer - Channel,931 Gentle Robin Circle,CALAMUS,fl,68418,966-359-7712,130-811-7530,ChristopherCortese@example.com,InActive,2002-07-09 20:08:31,2018-02-07 16:48:08
102,Coca-Cola Enterprises Inc.,2,Customer - Channel,7559 Golden Cottage Swale,CREEKSIDE,ca,76185,991-131-6678,871-682-5070,FrancesHowell@example.com,InActive,2017-04-22 00:31:52,2018-11-21 15:28:37
103,Jefferson-Pilot Co.,3,Customer - Channel,4298 Lone Branch Ridge,AUGUSTA,ny,71038,461-267-1056,845-781-3631,LindaDockery@example.com,InActive,2015-03-13 20:15:56,2018-01-14 06:10:07
104,UAL Corporation,4,Customer - Direct,21252 Emerald Robin Pass,KENMORE,mi,84151,241-996-9353,449-520-3029,CarissaHerrington@example.com,InActive,2014-04-17 18:38:04,2019-06-05 00:25:33
105,Scientific-Atlanta Inc,5,Customer - Channel,2506 Stony Cider Dale,HUNTSVILLE,va,24957,729-361-3710,301-835-3905,KeishaRuiz@example.com,InActive,2004-09-18 00:48:31,2017-06-29 13:56:00
106,Illinois Tool Works Inc.,6,Customer - Channel,19905 Hidden Harbor Avenue,FREELAND,wa,83337,107-651-9612,136-270-3166,BonnieParker@example.com,InActive,2011-01-17 12:20:49,2019-04-08 17:33:54
107,Hasbro Inc.,7,Customer - Direct,52863 Misty Maple Crest,AREDALE,dc,51572,157-376-9682,944-284-7276,DeborahBurnett@example.com,InActive,2007-04-01 02:26:19,2019-02-11 04:22:30
108,Sears Roebuck & Co,8,Customer - Direct,908 Lazy Feather Niche,LAKE PRESTON,tx,93515,971-840-1785,954-182-5727,JoanneTorres@example.com,InActive,2013-06-16 19:28:59,2019-08-29 04:28:04
109,KeyCorp,9,Customer - Direct,4140 Shady Bird Jetty,COLERAINE,wi,28344,711-655-1814,260-113-3457,JoshuaVillarreal@example.com,InActive,2004-02-25 08:27:22,2017-03-10 22:42:10
110,Philip Morris Companies Inc.,10,Customer - Channel,86557 Crystal Apple Grove,MUSKEGON,fl,60130,238-894-1438,560-995-8088,MariaRamsey@example.com,InActive,2012-07-21 07:39:53,2018-10-23 06:19:51
111,Brinker International Inc.,11,Customer - Channel,41010 Rose Goat Valley,TILINE,ut,71933,615-854-1337,800-810-9252,JohnHayward@example.com,InActive,2018-10-28 13:09:28,2019-04-07 09:55:03
112,Fiserv Inc.,12,Customer - Direct,10989 Crimson View Bluff,PORT SAINT LUCIE,ok,01960,729-185-3688,957-916-9935,CarlHuddleston@example.com,InActive,2006-09-06 02:45:03,2018-07-28 10:11:51
113,Smithfield Foods Inc,13,Customer - Channel,9715 Quaint Leaf Dell,TALLAHASSEE,ma,26419,979-245-1243,563-505-7670,LisaCross@example.com,InActive,2009-08-30 22:22:02,2018-08-06 16:04:54
114,Bausch & Lomb Incorporated,14,Customer - Channel,60734 Pearl Panda Lane,DIBBLE,tx,46865,105-804-4039,842-175-8020,AbbyRasmussen@example.com,InActive,2005-08-22 15:23:46,2018-09-24 02:27:11
115,Illinois Tool Works Inc.,15,Customer - Channel,94197 Strong Rock Twist,HAMMOND,az,84116,253-894-9187,549-195-1127,AdrianSteele@example.com,InActive,2015-12-17 11:50:58,2017-02-19 23:26:30
116,Flowserv Corp,16,Customer - Direct,18583 Iron Bear Ridge,MORRISON,va,11797,825-655-1422,922-890-1227,FernandoWagnon@example.com,InActive,2019-08-02 18:55:08,2017-12-14 19:48:42
117,Nacco Industries Inc,17,Customer - Channel,3029 Bright View Terrace,READING,nv,94578,969-903-4179,731-371-7572,BrianLehmann@example.com,InActive,2001-01-08 15:47:16,2019-03-08 03:55:03
118,Parker Hannifin Corp.,18,Customer - Channel,31397 Ivory Prairie Dell,DEFUNIAK SPRINGS,nj,60038,863-687-9136,514-450-8758,ChrisMclaughlin@example.com,InActive,2014-06-25 21:45:12,2018-04-19 08:00:35
119,Delphi Corp.,19,Customer - Channel,7069 Middle Rock Falls,CLANTON,tx,95221,758-399-4356,649-963-6128,CorinaGann@example.com,InActive,2015-01-14 04:04:59,2017-12-06 16:49:57
120,Viasystems Group Inc,20,Customer - Channel,26173 Quiet Bridge Pike,CENTREVILLE,hi,29614,366-188-5336,655-507-1581,PorfirioChristensen@example.com,InActive,2008-12-14 12:23:17,2019-08-17 17:22:26
121,PeopleSoft Inc,21,Customer - Direct,100 Broad Berry Villa,FRYEBURG,ny,57024,485-278-9817,168-984-4123,MelvaEllison@example.com,InActive,2014-01-22 10:05:30,2017-12-03 23:18:24
122,Silicon Graphics Inc,22,Customer - Channel,61524 Heather Beaver Mews,TEANECK,tx,12183,395-111-5269,642-273-1537,ScottWall@example.com,InActive,2009-06-21 03:39:38,2017-12-26 09:59:12
123,XO Communications Inc,23,Customer - Direct,87477 Cold Sky Farms,PERCY,fl,72611,195-136-6931,663-644-5781,CharlieBrown@example.com,InActive,2003-11-28 17:05:06,2017-04-13 21:54:56
124,RPM Inc.,24,Customer - Direct,6396 Fallen Crow Stead,FREMONT,wi,16619,227-383-7084,136-992-9979,BenjaminAbner@example.com,InActive,2001-02-08 08:05:29,2019-06-10 09:28:36
125,WPS Resources Corporation,25,Customer - Channel,3112 Pretty Branch Haven,MINDENMINES,ma,31207,784-616-3022,254-697-4720,DennisSowell@example.com,InActive,2008-04-06 01:45:35,2017-06-18 10:29:22
126,International Multifoods Corporation,26,Customer - Direct,48966 Dewy Butterfly Valley,ONTARIO,mo,83554,629-518-2344,463-312-3496,KristinMcadams@example.com,InActive,2015-11-28 22:48:32,2018-12-03 06:19:39
127,Robert Half International Inc.,27,Customer - Channel,11395 Sunny Branch Way,BOWIE,oh,61374,363-806-9646,628-922-4538,LenaOchoa@example.com,InActive,2004-11-09 04:34:27,2017-06-16 22:11:57
128,TJX Companies Inc,28,Customer - Direct,328 Clear Hills Turn,DENVER,ny,14815,238-529-5625,714-154-1964,JarrodMain@example.com,InActive,2015-03-30 12:21:35,2018-11-20 09:07:36
129,Becton Dickinson and Company,29,Customer - Direct,23534 Quaking Rabbit Vista,LINN,tn,74820,735-781-2112,211-101-7426,JoeSain@example.com,InActive,2001-08-13 06:42:44,2019-08-05 20:45:44
130,Archer Daniels Midland Company,30,Customer - Direct,60136 Tawny Bird Trail,GRAND HAVEN,ky,76006,394-838-2340,612-345-7268,MavisGil@example.com,InActive,2019-07-08 05:16:07,2018-10-19 10:03:39
131,National City Corp.,31,Customer - Channel,67371 Big Fawn Summit,WEST TERRE HAUTE,nc,52761,463-973-3510,152-210-6518,DanielZuniga@example.com,InActive,2014-03-30 05:47:47,2017-11-11 21:53:06
